x,y,z,vx,vy,vz
-35.248260498046875,12.869462013244629,-0.0338914729654789,63.60856246948242,173.3618621826172,-3.220278263092041
-34.564605712890625,14.598797798156738,-0.06643792241811752,72.13262939453125,169.99392700195312,-3.2487876415252686
-33.796024322509766,16.292070388793945,-0.09920429438352585,80.46788787841797,166.2033233642578,-3.254103660583496
-32.94456100463867,17.945011138916016,-0.13211072981357574,88.58789825439453,161.99282836914062,-3.273667812347412
-32.01236343383789,19.553512573242188,-0.1648952215909958,96.509033203125,157.3749237060547,-3.236539602279663
-31.00140953063965,21.113510131835938,-0.1972426027059555,104.21350860595703,152.36912536621094,-3.190243721008301
-29.914234161376953,22.621246337890625,-0.22914133965969086,111.64679718017578,146.99618530273438,-3.1440892219543457
-28.753576278686523,24.07294464111328,-0.2605632245540619,118.80703735351562,141.2362518310547,-3.0971462726593018
-27.522140502929688,25.46478843688965,-0.2914203405380249,125.6904525756836,135.1153564453125,-3.0367379188537598
-26.22304916381836,26.79332160949707,-0.32172903418540955,132.25196838378906,128.67263793945312,-2.9824109077453613
-24.859437942504883,28.055347442626953,-0.35131096839904785,138.49209594726562,121.90501403808594,-2.8959097862243652
-23.43476104736328,29.247753143310547,-0.38011080026626587,144.37562561035156,114.85164642333984,-2.831036329269409
-21.95277976989746,30.367767333984375,-0.40830177068710327,149.8741912841797,107.53038787841797,-2.7688379287719727
-20.559032440185547,31.320945739746094,-0.4332563877105713,154.54763793945312,100.66645050048828,-2.6844990253448486
-18.978302001953125,32.29555130004883,-0.4600205719470978,159.31607055664062,92.84326934814453,-2.6189332008361816
-17.351505279541016,33.19014358520508,-0.4860042333602905,163.69070434570312,84.78703308105469,-2.5383799076080322
-15.68259048461914,34.00270462036133,-0.5111256837844849,167.67623901367188,76.55046081542969,-2.44735050201416
-13.9755859375,34.73152542114258,-0.5352780222892761,171.24671936035156,68.1551742553711,-2.3558294773101807
-12.234832763671875,35.374752044677734,-0.5583069920539856,174.39413452148438,59.55606460571289,-2.2208645343780518
-10.46448802947998,35.930694580078125,-0.5799750089645386,177.11087036132812,50.8262939453125,-2.086512327194214
-8.668988227844238,36.397953033447266,-0.60039222240448,179.39651489257812,41.952606201171875,-1.9699875116348267
-6.852540969848633,36.775272369384766,-0.6196650266647339,181.24636840820312,32.95753860473633,-1.8527618646621704
-5.019794464111328,37.061519622802734,-0.6376082897186279,182.6422576904297,23.880130767822266,-1.7132152318954468
-3.1753323078155518,37.25600814819336,-0.6542072892189026,183.58290100097656,14.73647689819336,-1.5849756002426147
-1.3236960172653198,37.3582649230957,-0.6694966554641724,184.05599975585938,5.573484897613525,-1.4408358335494995
0.5303288698196411,37.3681640625,-0.6832664608955383,184.0651397705078,-3.614769220352173,-1.2991127967834473
2.214043617248535,37.2967414855957,-0.6946013569831848,183.68106079101562,-11.985518455505371,-1.1682628393173218
4.05980110168457,37.129730224609375,-0.7056254148483276,182.79470825195312,-21.186323165893555,-1.0215893983840942
5.894440650939941,36.87004470825195,-0.715170681476593,181.48883056640625,-30.334779739379883,-0.8694146871566772
7.713582992553711,36.518768310546875,-0.7231619358062744,179.6974639892578,-39.41701889038086,-0.7151268124580383
9.512422561645508,36.07643127441406,-0.7294641733169556,177.46156311035156,-48.410606384277344,-0.5384646058082581
11.286447525024414,35.544151306152344,-0.734012246131897,174.76499938964844,-57.27165222167969,-0.36452507972717285
13.031067848205566,34.923248291015625,-0.736931562423706,171.63287353515625,-66.01412200927734,-0.21406562626361847
14.74199104309082,34.21497344970703,-0.7382421493530273,168.06976318359375,-74.60981750488281,-0.047696713358163834
16.41497039794922,33.421024322509766,-0.7378499507904053,164.10377502441406,-83.03141021728516,0.1247362270951271
18.04587745666504,32.543212890625,-0.7358399033546448,159.71685791015625,-91.24712371826172,0.2673332989215851
19.630565643310547,31.583961486816406,-0.7323489189147949,154.92213439941406,-99.2167739868164,0.4293743073940277
21.16493797302246,30.54563331604004,-0.7272146344184875,149.7313690185547,-106.9466781616211,0.5821585655212402
22.645156860351562,29.430755615234375,-0.7204782962799072,144.16497802734375,-114.41606903076172,0.7535161375999451
23.940553665161133,28.353214263916016,-0.7129610776901245,138.76480102539062,-120.94613647460938,0.8906494379043579
25.30675506591797,27.100191116333008,-0.7032822966575623,132.48695373535156,-127.85060119628906,1.0350492000579834
26.60796546936035,25.779251098632812,-0.6920499205589294,125.86669921875,-134.41978454589844,1.183872103691101
27.840797424316406,24.393779754638672,-0.6794652342796326,118.91239929199219,-140.66941833496094,1.3035389184951782
29.0020751953125,22.947063446044922,-0.6657511591911316,111.66925048828125,-146.57711791992188,1.42508864402771
30.08913230895996,21.44274139404297,-0.6508153676986694,104.16744995117188,-152.11187744140625,1.541861653327942
31.09935188293457,19.884506225585938,-0.6347569227218628,96.4147720336914,-157.27455139160156,1.6418375968933105
32.03019332885742,18.27639389038086,-0.617800235748291,88.39715576171875,-162.0276641845703,1.7275711297988892
32.87910842895508,16.622352600097656,-0.5999424457550049,80.15663146972656,-166.3768310546875,1.8097761869430542
33.643863677978516,14.926590919494629,-0.5813060402870178,71.68108367919922,-170.30613708496094,1.8961519002914429
34.322303771972656,13.193546295166016,-0.5618205070495605,63.02836990356445,-173.78672790527344,1.9763120412826538
34.91286087036133,11.427567481994629,-0.5415051579475403,54.23503494262695,-176.85752868652344,2.0525081157684326
35.414215087890625,9.632950782775879,-0.5205077528953552,45.299285888671875,-179.47410583496094,2.125300645828247
35.791259765625,7.980276107788086,-0.5006565451622009,37.04835510253906,-181.49395751953125,2.2099711894989014
